
==================================================
Training LSTM-AE with sequence length: 2_week | Fold 1 (years: [2005, 2006])
Epoch 74 | Train loss: 0.00244 | Val loss: 0.00744 | Combo score: 0.427 | Smoothed: 0.445 | MCC: 0.253 | REC: 0.222 | PRE: 0.418 | AUC: 0.688 | Threshold: 0.01971
Epoch 75 | Train loss: 0.00237 | Val loss: 0.00779 | Combo score: 0.468 | Smoothed: 0.447 | MCC: 0.349 | REC: 0.237 | PRE: 0.626 | AUC: 0.699 | Threshold: 0.03678
Epoch 76 | Train loss: 0.00235 | Val loss: 0.00782 | Combo score: 0.464 | Smoothed: 0.449 | MCC: 0.343 | REC: 0.266 | PRE: 0.559 | AUC: 0.701 | Threshold: 0.03037
Epoch 77 | Train loss: 0.00232 | Val loss: 0.00788 | Combo score: 0.471 | Smoothed: 0.451 | MCC: 0.356 | REC: 0.228 | PRE: 0.663 | AUC: 0.693 | Threshold: 0.04638
Epoch 78 | Train loss: 0.00227 | Val loss: 0.00788 | Combo score: 0.472 | Smoothed: 0.453 | MCC: 0.361 | REC: 0.253 | PRE: 0.626 | AUC: 0.700 | Threshold: 0.03870
Epoch 79 | Train loss: 0.00226 | Val loss: 0.00758 | Combo score: 0.473 | Smoothed: 0.455 | MCC: 0.359 | REC: 0.234 | PRE: 0.657 | AUC: 0.706 | Threshold: 0.03978
Epoch 80 | Train loss: 0.00224 | Val loss: 0.00765 | Combo score: 0.459 | Smoothed: 0.456 | MCC: 0.330 | REC: 0.268 | PRE: 0.524 | AUC: 0.706 | Threshold: 0.02731
Epoch 81 | Train loss: 0.00235 | Val loss: 0.00758 | Combo score: 0.465 | Smoothed: 0.457 | MCC: 0.340 | REC: 0.220 | PRE: 0.639 | AUC: 0.701 | Threshold: 0.03383
Epoch 82 | Train loss: 0.00224 | Val loss: 0.00765 | Combo score: 0.472 | Smoothed: 0.458 | MCC: 0.356 | REC: 0.232 | PRE: 0.655 | AUC: 0.710 | Threshold: 0.04076
Epoch 83 | Train loss: 0.00217 | Val loss: 0.00739 | Combo score: 0.471 | Smoothed: 0.459 | MCC: 0.353 | REC: 0.228 | PRE: 0.655 | AUC: 0.708 | Threshold: 0.03610
Epoch 84 | Train loss: 0.00210 | Val loss: 0.00794 | Combo score: 0.472 | Smoothed: 0.461 | MCC: 0.362 | REC: 0.263 | PRE: 0.608 | AUC: 0.698 | Threshold: 0.03886
Epoch 85 | Train loss: 0.00213 | Val loss: 0.00689 | Combo score: 0.412 | Smoothed: 0.456 | MCC: 0.198 | REC: 0.444 | PRE: 0.213 | AUC: 0.701 | Threshold: 0.00896
Epoch 86 | Train loss: 0.00206 | Val loss: 0.00698 | Combo score: 0.461 | Smoothed: 0.456 | MCC: 0.330 | REC: 0.199 | PRE: 0.658 | AUC: 0.694 | Threshold: 0.03551
Epoch 87 | Train loss: 0.00204 | Val loss: 0.00752 | Combo score: 0.475 | Smoothed: 0.458 | MCC: 0.364 | REC: 0.241 | PRE: 0.659 | AUC: 0.711 | Threshold: 0.03906
Epoch 88 | Train loss: 0.00199 | Val loss: 0.00743 | Combo score: 0.470 | Smoothed: 0.459 | MCC: 0.354 | REC: 0.243 | PRE: 0.626 | AUC: 0.702 | Threshold: 0.04000
Epoch 89 | Train loss: 0.00196 | Val loss: 0.00722 | Combo score: 0.472 | Smoothed: 0.461 | MCC: 0.358 | REC: 0.232 | PRE: 0.659 | AUC: 0.704 | Threshold: 0.04116
Epoch 90 | Train loss: 0.00194 | Val loss: 0.00709 | Combo score: 0.474 | Smoothed: 0.462 | MCC: 0.363 | REC: 0.232 | PRE: 0.675 | AUC: 0.698 | Threshold: 0.03837
Epoch 91 | Train loss: 0.00201 | Val loss: 0.00717 | Combo score: 0.472 | Smoothed: 0.463 | MCC: 0.359 | REC: 0.241 | PRE: 0.644 | AUC: 0.704 | Threshold: 0.03762
Epoch 92 | Train loss: 0.00191 | Val loss: 0.00663 | Combo score: 0.408 | Smoothed: 0.458 | MCC: 0.193 | REC: 0.407 | PRE: 0.218 | AUC: 0.694 | Threshold: 0.00932
Epoch 93 | Train loss: 0.00190 | Val loss: 0.00713 | Combo score: 0.470 | Smoothed: 0.459 | MCC: 0.352 | REC: 0.226 | PRE: 0.657 | AUC: 0.699 | Threshold: 0.04110
Epoch 94 | Train loss: 0.00192 | Val loss: 0.00665 | Combo score: 0.410 | Smoothed: 0.454 | MCC: 0.191 | REC: 0.456 | PRE: 0.204 | AUC: 0.698 | Threshold: 0.00797
Epoch 95 | Train loss: 0.00185 | Val loss: 0.00686 | Combo score: 0.468 | Smoothed: 0.455 | MCC: 0.349 | REC: 0.220 | PRE: 0.662 | AUC: 0.694 | Threshold: 0.04031
Epoch 96 | Train loss: 0.00181 | Val loss: 0.00700 | Combo score: 0.473 | Smoothed: 0.457 | MCC: 0.361 | REC: 0.230 | PRE: 0.673 | AUC: 0.695 | Threshold: 0.03919
Epoch 97 | Train loss: 0.00180 | Val loss: 0.00642 | Combo score: 0.455 | Smoothed: 0.457 | MCC: 0.311 | REC: 0.172 | PRE: 0.675 | AUC: 0.694 | Threshold: 0.04071
Epoch 98 | Train loss: 0.00190 | Val loss: 0.00688 | Combo score: 0.467 | Smoothed: 0.458 | MCC: 0.345 | REC: 0.220 | PRE: 0.650 | AUC: 0.704 | Threshold: 0.03824
Epoch 99 | Train loss: 0.00188 | Val loss: 0.00691 | Combo score: 0.460 | Smoothed: 0.458 | MCC: 0.331 | REC: 0.243 | PRE: 0.568 | AUC: 0.703 | Threshold: 0.03543
Epoch 100 | Train loss: 0.00178 | Val loss: 0.00660 | Combo score: 0.459 | Smoothed: 0.458 | MCC: 0.329 | REC: 0.214 | PRE: 0.620 | AUC: 0.689 | Threshold: 0.03589
Epoch 101 | Train loss: 0.00180 | Val loss: 0.00617 | Combo score: 0.406 | Smoothed: 0.453 | MCC: 0.183 | REC: 0.469 | PRE: 0.194 | AUC: 0.682 | Threshold: 0.00696
Early stopping at epoch 101 (no improvement in smoothed or combo score over 10 epochs)

--- Fold 1 summary (years: [2005, 2006]) ---
Best epoch: 67
Threshold used: 0.04092
Validation metrics:
ACC: 91.2%
PRE: 58.6%
REC: 30.3%
MCC: 0.38
AUC: 0.70
==================================================


==================================================
Training LSTM-AE with sequence length: 2_week | Fold 2 (years: [2006, 2007])
Epoch 01 | Train loss: 0.04387 | Val loss: 0.02189 | Combo score: 0.414 | Smoothed: 0.414 | MCC: 0.190 | REC: 0.613 | PRE: 0.181 | AUC: 0.674 | Threshold: 0.02388
Epoch 02 | Train loss: 0.01604 | Val loss: 0.02092 | Combo score: 0.396 | Smoothed: 0.412 | MCC: 0.139 | REC: 0.644 | PRE: 0.149 | AUC: 0.648 | Threshold: 0.01879
Epoch 03 | Train loss: 0.01341 | Val loss: 0.01798 | Combo score: 0.388 | Smoothed: 0.410 | MCC: 0.137 | REC: 0.472 | PRE: 0.167 | AUC: 0.649 | Threshold: 0.02119
Epoch 04 | Train loss: 0.01188 | Val loss: 0.01429 | Combo score: 0.387 | Smoothed: 0.408 | MCC: 0.124 | REC: 0.579 | PRE: 0.148 | AUC: 0.632 | Threshold: 0.01426
Epoch 05 | Train loss: 0.01071 | Val loss: 0.01285 | Combo score: 0.396 | Smoothed: 0.406 | MCC: 0.141 | REC: 0.644 | PRE: 0.150 | AUC: 0.642 | Threshold: 0.01202
Epoch 06 | Train loss: 0.01021 | Val loss: 0.01239 | Combo score: 0.404 | Smoothed: 0.406 | MCC: 0.158 | REC: 0.642 | PRE: 0.159 | AUC: 0.669 | Threshold: 0.01185
Epoch 07 | Train loss: 0.00970 | Val loss: 0.01221 | Combo score: 0.387 | Smoothed: 0.404 | MCC: 0.131 | REC: 0.507 | PRE: 0.159 | AUC: 0.647 | Threshold: 0.01388
