,ignition_date,state,total_area_ha,log_total_area_ha,fire_count,outlier_type,ignition_cause
210,2005-12-20,Western Australia,25031.0,10.127910285348719,1,None,Natural
211,2005-12-21,New South Wales,14.0,2.70805020110221,1,None,Natural
212,2005-12-21,Queensland,11614.0,9.36005264520451,3,None,Not recorded
213,2005-12-21,South Australia,10.0,2.3978952727983707,1,None,Not recorded
214,2005-12-21,Victoria,189.0,5.247024072160486,4,None,Not recorded
215,2005-12-23,Queensland,2512.0,7.829232537543592,3,None,Not recorded
216,2005-12-23,South Australia,6147.0,8.723882104658486,1,None,Not recorded
217,2005-12-24,New South Wales,6.0,1.9459101490553132,1,None,Natural
218,2005-12-24,Queensland,912.0,6.816735880594968,1,None,Not recorded
219,2005-12-25,Queensland,4.0,1.6094379124341003,1,None,Not recorded
220,2005-12-27,Queensland,22758.0,10.032715950543913,4,None,Not recorded
221,2005-12-27,South Australia,33751.0,10.426794953804174,6,None,Not recorded
222,2005-12-27,Victoria,3.0,1.3862943611198906,1,None,Not recorded
223,2005-12-28,New South Wales,422.0,6.0473721790462776,1,None,Natural
224,2005-12-28,South Australia,277.0,5.627621113690637,2,None,Not recorded
225,2005-12-28,Victoria,120.0,4.795790545596741,4,None,Not recorded
226,2005-12-29,New South Wales,162.0,5.093750200806762,2,None,Natural
227,2005-12-29,Queensland,693.0,6.542471960506805,1,None,Not recorded
228,2005-12-30,New South Wales,4058.0,8.308691916838898,2,None,Natural
229,2005-12-30,South Australia,18.0,2.9444389791664403,1,None,Not recorded
230,2005-12-30,Victoria,48.0,3.8918202981106265,1,None,Not recorded
231,2005-12-31,South Australia,86213.0,11.36458785645726,4,None,Not recorded
232,2005-12-31,Victoria,7762.0,8.95712413640568,2,None,Not recorded
233,2006-01-01,Queensland,122.0,4.812184355372417,1,None,Not recorded
234,2006-01-01,South Australia,11.0,2.4849066497880004,1,None,Not recorded
235,2006-01-01,Victoria,31054.0,10.343515104993404,41,EVT outlier,Not recorded
236,2006-01-02,New South Wales,6295.0,8.74766979009724,2,None,Natural
237,2006-01-02,Queensland,6356.0,8.757311846936409,1,None,Not recorded
238,2006-01-03,Queensland,3229.0,8.080237416216702,2,None,Not recorded
239,2006-01-03,Victoria,0.0,0.0,1,None,Not recorded
240,2006-01-04,Queensland,309.0,5.736572297479192,1,None,Not recorded
241,2006-01-07,Queensland,1574.0,7.362010551259734,2,None,Not recorded
242,2006-01-07,Western Australia,43.0,3.784189633918261,1,None,Natural
243,2006-01-08,Western Australia,7.0,2.0794415416798357,1,None,Natural
244,2006-01-09,South Australia,1044.0,6.951772164398911,1,None,Not recorded
245,2006-01-11,New South Wales,0.0,0.0,1,None,Natural
246,2006-01-11,South Australia,1436.0,7.270312886079025,1,None,Not recorded
247,2006-01-14,South Australia,8.0,2.1972245773362196,1,None,Not recorded
248,2006-01-16,South Australia,106.0,4.672828834461906,1,None,Not recorded
249,2006-01-17,Queensland,763.0,6.638567789166521,1,None,Not recorded
250,2006-01-17,Victoria,12.0,2.5649493574615367,1,None,Not recorded
251,2006-01-18,Queensland,400.0,5.993961427306569,1,None,Not recorded
252,2006-01-18,Victoria,3.0,1.3862943611198906,2,None,Not recorded
253,2006-01-19,Tasmania,1.0,0.6931471805599453,1,None,Natural
254,2006-01-19,Victoria,4.0,1.6094379124341003,1,None,Not recorded
255,2006-01-20,South Australia,70121.0,11.157991861161213,9,None,Not recorded
256,2006-01-20,Tasmania,7215.0,8.88405606174246,7,None,Natural
257,2006-01-20,Victoria,127236.0,11.753806768093773,2,Both,Not recorded
258,2006-01-21,South Australia,108.0,4.6913478822291435,1,None,Not recorded
259,2006-01-21,Tasmania,5.0,1.791759469228055,1,None,Natural
260,2006-01-21,Victoria,0.0,0.0,2,None,Not recorded
261,2006-01-22,Tasmania,5.0,1.791759469228055,1,None,Natural
262,2006-01-22,Victoria,9439.0,9.152711259139547,4,None,Not recorded
263,2006-01-24,New South Wales,42.0,3.7612001156935624,1,None,Natural
264,2006-01-26,Queensland,3436.0,8.142354276849835,1,None,Not recorded
265,2006-01-27,Queensland,121.0,4.804021044733257,1,None,Not recorded
